Name,Model,Generated_Texts,F1_Score,Rouge1,Rouge2,RougeL,Length,Vec2,Bleu
Ghassan Hamarneh,davinci,Text2,0.058252427,0.150943396,0.057692308,0.150943396,619,0.7893025279045105,0.0001
Ghassan Hamarneh,davinci,Text3,0.27027027,0.656084656,0.310160428,0.444444444,116,0.9726351499557496,0.2096
Ghassan Hamarneh,turbo,Text1,0.312796209,0.626728111,0.344186047,0.414746544,630,0.9806132,0.1792
Ghassan Hamarneh,turbo,Text2,0.320441989,0.702702703,0.338797814,0.475675676,787,0.98063576,0.2243
Ghassan Hamarneh,turbo,Text3,0.345177665,0.663366337,0.38,0.485148515,609,0.97708607,0.2135
Xenophon Papademetris,ada,Text1,0.154929577,0.413793103,0.20979021,0.289655172,644,0.95646936,0.0607
Xenophon Papademetris,ada,Text2,0.059701493,0.325925926,0.060150376,0.207407407,287,0.9538889,0.0105
Xenophon Papademetris,ada,Text3,0.0,0.15037594,0.015267176,0.105263158,231,0.847896,0.0016
Xenophon Papademetris,curie,Text1,0.110552764,0.502463054,0.149253731,0.315270936,644,0.9606434,0.0334
Xenophon Papademetris,curie,Text2,0.161538462,0.526315789,0.204545455,0.293233083,656,0.9723445,0.0821
Xenophon Papademetris,curie,Text3,0.157142857,0.422535211,0.185714286,0.281690141,1041,0.9383982,0.0461
Xenophon Papademetris,davinci,Text1,0.294416244,0.636363636,0.336734694,0.464646465,644,0.0,0.2133
Xenophon Papademetris,davinci,Text2,0.0,0.01980198,0.0,0.01980198,643,0.0,0.0
Xenophon Papademetris,davinci,Text3,0.354285714,0.659090909,0.356321839,0.488636364,52,0.0,0.2022
Xenophon Papademetris,turbo,Text1,0.304932735,0.631578947,0.336283186,0.403508772,644,0.9831127,0.1632
Xenophon Papademetris,turbo,Text2,0.341968912,0.676923077,0.373056995,0.441025641,801,0.97305,0.2089
Xenophon Papademetris,turbo,Text3,0.273972603,0.57918552,0.292237443,0.43438914,626,0.9714129,0.187
Penny Rheingans,ada,Text1,0.081871345,0.333333333,0.081395349,0.183908046,789,0.93248165,0.0343
Penny Rheingans,ada,Text2,0.013071895,0.163522013,0.012738854,0.088050314,321,0.8578198,0.0014
Penny Rheingans,ada,Text3,0.110429448,0.315151515,0.110429448,0.181818182,225,0.9486559,0.0095
Penny Rheingans,curie,Text1,0.122605364,0.445283019,0.136882129,0.256603774,789,0.97846,0.1051
Penny Rheingans,curie,Text2,0.157894737,0.433823529,0.177777778,0.286764706,897,0.9442278,0.1458
Penny Rheingans,curie,Text3,0.053763441,0.357894737,0.074468085,0.2,862,0.9432935,0.0069
Penny Rheingans,davinci,Text1,0.264317181,0.535087719,0.265486726,0.412280702,789,0.9552178978919984,0.1993
Penny Rheingans,davinci,Text2,0.0,0.105263158,0.015267176,0.060150376,643,0.6216609477996826,0.0
Penny Rheingans,davinci,Text3,0.266666667,0.56122449,0.268041237,0.428571429,93,0.9478092193603516,0.1672
Penny Rheingans,turbo,Text1,0.192546584,0.495412844,0.209230769,0.311926606,789,0.97800535,0.1059
Penny Rheingans,turbo,Text2,0.296296296,0.627272727,0.302752294,0.436363636,1367,0.9593118,0.188
Penny Rheingans,turbo,Text3,0.242152466,0.587719298,0.265486726,0.385964912,620,0.9448031,0.1569
Marie desJardins,ada,Text1,0.028368794,0.344827586,0.055944056,0.165517241,570,0.9499302,0.0077
Marie desJardins,ada,Text2,0.0,0.191304348,0.0,0.104347826,356,0.94249666,0.0021
Marie desJardins,ada,Text3,0.014285714,0.319444444,0.056338028,0.152777778,200,0.9548945,0.0075
Marie desJardins,curie,Text1,0.222222222,0.56,0.242774566,0.377142857,570,0.96624213,0.1465
Marie desJardins,curie,Text2,0.176870748,0.490066225,0.187919463,0.344370861,548,0.95006865,0.1144
Marie desJardins,curie,Text3,0.181818182,0.467836257,0.224852071,0.269005848,401,0.9595063,0.1023
Marie desJardins,davinci,Text1,0.218181818,0.523809524,0.228915663,0.380952381,570,0.9627517461776732,0.1733
Marie desJardins,davinci,Text2,0.25,0.482758621,0.245614035,0.362068966,498,0.8951807022094727,0.0503
Marie desJardins,davinci,Text3,0.294478528,0.56969697,0.282208589,0.424242424,191,0.9456520080566406,0.1732
Marie desJardins,turbo,Text1,0.205357143,0.50862069,0.217391304,0.362068966,570,0.97573555,0.0955
Marie desJardins,turbo,Text2,0.296703297,0.627027027,0.306010929,0.443243243,894,0.971064,0.1896
Marie desJardins,turbo,Text3,0.284090909,0.585635359,0.301675978,0.419889503,636,0.9715383,0.1771
Carla E. Brodley,ada,Text1,0.170731707,0.435294118,0.178571429,0.317647059,585,0.90723795,0.076
Carla E. Brodley,ada,Text2,0.108433735,0.346820809,0.128654971,0.184971098,394,0.9569005,0.032
Carla E. Brodley,ada,Text3,0.064102564,0.4,0.101265823,0.2125,469,0.9646333,0.0103
Carla E. Brodley,curie,Text1,0.261306533,0.554455446,0.27,0.386138614,585,0.9779615,0.2118
Carla E. Brodley,curie,Text2,0.213953488,0.529680365,0.230414747,0.365296804,674,0.9559202,0.1548
Carla E. Brodley,curie,Text3,0.184331797,0.497777778,0.215246637,0.337777778,746,0.973299,0.1213
Carla E. Brodley,davinci,Text1,0.322222222,0.607734807,0.324022346,0.475138122,585,0.9529237747192384,0.2407
Carla E. Brodley,davinci,Text2,0.297297297,0.631578947,0.293333333,0.5,535,0.926256775856018,0.1893
Carla E. Brodley,davinci,Text3,0.443298969,0.69035533,0.451282051,0.54822335,379,0.9658597111701964,0.2797
Carla E. Brodley,turbo,Text1,0.294117647,0.654205607,0.311320755,0.411214953,585,0.98016155,0.2071
Carla E. Brodley,turbo,Text2,0.331550802,0.705263158,0.340425532,0.452631579,705,0.95668834,0.23
Carla E. Brodley,turbo,Text3,0.313513514,0.609625668,0.313513514,0.470588235,593,0.9441257,0.2466
