Name,Model,publications,F1 Score,RougeL,Length,Vec2,Bleu,paragraph
Mary Jean Harrold,ada,100,0.0632548113333333,0.1432156863333333,365.3333333333333,0.8553080566666668,0.0105666666666666,Paragraph 3
Mary Jean Harrold,curie,100,0.0914763656666666,0.2318625023333333,590.0,0.96062481,0.0482333333333333,Paragraph 3
Mary Jean Harrold,turbo,100,0.2380305746666666,0.4108691963333333,677.6666666666666,0.9621242166666668,0.1291,Paragraph 3
Mary C. Whitton,turbo,59,0.2976882453333333,0.435833055,690.0,0.97373578,0.1835,Paragraph 3
Mary C. Whitton,ada,59,0.1193615183333333,0.238414676,449.0,0.9534436066666668,0.0495333333333333,Paragraph 3
Mary C. Whitton,curie,59,0.1337549686666666,0.2686832473333333,655.0,0.95850138,0.0819666666666666,Paragraph 3
Mary C. Whitton,davinci,59,0.307382298,0.4049780193333333,523.6666666666666,0.9538203676541648,0.1639333333333333,Paragraph 3
Marie desJardins,curie,99,0.1936370506666666,0.3301731886666666,506.3333333333333,0.9586056933333332,0.1210666666666666,Paragraph 3
Marie desJardins,davinci,99,0.2542201153333334,0.3890879236666666,419.6666666666667,0.9345281521479288,0.1322666666666666,Paragraph 3
Marie desJardins,ada,99,0.0142181693333333,0.1408809483333333,375.3333333333333,0.94910712,0.0057666666666666,Paragraph 3
Marie desJardins,turbo,99,0.2620504496666666,0.4084005706666667,700.0,0.9727792833333332,0.1540666666666666,Paragraph 3
James A. Jones,davinci,45,0.278547685,0.4462601253333333,499.6666666666667,0.9428116281827292,0.1722666666666666,Paragraph 3
James A. Jones,curie,45,0.1515071183333333,0.2901243256666666,640.3333333333334,0.9566016233333332,0.1002333333333333,Paragraph 3
James A. Jones,ada,45,0.0820818203333333,0.2170542783333333,608.3333333333334,0.94579391,0.0185,Paragraph 3
James A. Jones,turbo,45,0.2543636709999999,0.4008991203333333,831.3333333333334,0.9490499333333332,0.1566999999999999,Paragraph 3
Henry Fuchs,ada,100,0.075246484,0.177355956,420.6666666666667,0.8892625333333334,0.0430333333333333,Paragraph 3
Henry Fuchs,curie,100,0.1595910123333333,0.3062771473333333,561.6666666666666,0.9542458766666666,0.1237666666666666,Paragraph 3
Henry Fuchs,davinci,100,0.2702437153333333,0.3957361299999999,467.6666666666667,0.9439648191134136,0.1353666666666666,Paragraph 3
Henry Fuchs,turbo,100,0.2613815313333333,0.396581526,702.6666666666666,0.9681846,0.1454666666666666,Paragraph 3
Ghassan Hamarneh,curie,150,0.1677365193333333,0.310504431,635.3333333333334,0.9616726633333332,0.0973,Paragraph 3
Ghassan Hamarneh,davinci,150,0.2012183239999999,0.3573572593333333,455.0,0.910105288028717,0.1501666666666666,Paragraph 3
Ghassan Hamarneh,turbo,150,0.3261386209999999,0.4585235783333333,675.3333333333334,0.97944501,0.2056666666666666,Paragraph 3
Ghassan Hamarneh,ada,150,0.059032748,0.1818367346666666,360.0,0.8993660800000001,0.0165333333333333,Paragraph 3
Fabian Beck,davinci,61,0.2148347386666666,0.3352064406666666,492.3333333333333,0.9260968963305156,0.0901666666666666,Paragraph 3
Fabian Beck,curie,61,0.1330305253333333,0.282003682,537.0,0.9585204466666668,0.0552666666666666,Paragraph 3
Fabian Beck,ada,61,0.0938169176666666,0.2168718796666666,435.3333333333333,0.9328640866666666,0.0133,Paragraph 3
Fabian Beck,turbo,61,0.2442412343333333,0.3882223643333333,736.0,0.9699505966666668,0.1392,Paragraph 3
Dieter Schmalstieg,curie,300,0.1000509723333333,0.240797307,819.0,0.9444165666666668,0.0238,Paragraph 3
Dieter Schmalstieg,ada,300,0.0691884433333333,0.156118631,543.6666666666666,0.9175180066666666,0.0181666666666666,Paragraph 3
Dieter Schmalstieg,davinci,300,0.1535947713333333,0.1997769983333333,500.6666666666667,0.0,0.0844666666666666,Paragraph 3
Dieter Schmalstieg,turbo,300,0.2158066806666666,0.3579318716666666,955.3333333333334,0.9749320666666668,0.1087,Paragraph 3
Daniel Weiskopf,ada,250,0.0645439906666666,0.1169299486666666,356.3333333333333,0.83251971,0.0,Paragraph 3
Daniel Weiskopf,curie,250,0.0871587403333333,0.1986570046666666,781.6666666666666,0.8818631133333333,0.0503666666666666,Paragraph 3
Daniel Weiskopf,turbo,250,0.2471829673333333,0.3782754436666666,707.6666666666666,0.97440849,0.1312666666666666,Paragraph 3
Daniel Weiskopf,davinci,250,0.1551876976666666,0.2860411186666666,568.6666666666666,0.9116684198379515,0.0799,Paragraph 3
Catherine Plaisant,turbo,150,0.2807175943333333,0.4275339456666667,850.3333333333334,0.9735972833333334,0.1882333333333333,Paragraph 3
Catherine Plaisant,curie,150,0.1889983853333333,0.2738227813333333,627.3333333333334,0.9612712566666666,0.1008666666666666,Paragraph 3
Catherine Plaisant,ada,150,0.064452142,0.1634448173333333,366.3333333333333,0.8987539333333334,0.0037333333333333,Paragraph 3
Catherine Plaisant,davinci,150,0.2753607503333333,0.4019598873333334,651.3333333333334,0.951963702837626,0.1346333333333333,Paragraph 3
Carla E. Brodley,turbo,84,0.3130606543333333,0.444811589,627.6666666666666,0.9603251966666668,0.2279,Paragraph 3
Carla E. Brodley,ada,84,0.1144226686666666,0.238372719,482.6666666666667,0.9429239166666666,0.0394333333333333,Paragraph 3
Carla E. Brodley,curie,84,0.2198639393333333,0.3630710653333333,668.3333333333334,0.9690602333333334,0.1626333333333333,Paragraph 3
Carla E. Brodley,davinci,84,0.3542728293333333,0.5077871573333333,499.6666666666667,0.948346753915151,0.2365666666666666,Paragraph 3
Benjamin B. Bederson,turbo,100,0.2186922186666666,0.366142096,731.6666666666666,0.9641878666666668,0.1412666666666666,Paragraph 3
Benjamin B. Bederson,curie,100,0.136247125,0.272240975,730.0,0.95666201,0.079,Paragraph 3
Benjamin B. Bederson,ada,100,0.0728488143333333,0.2095730833333333,526.0,0.92846972,0.0383666666666666,Paragraph 3
Benjamin B. Bederson,davinci,100,0.2108250423333333,0.370198472,544.3333333333334,0.8920310934384664,0.0913,Paragraph 3
Ben Shneiderman,ada,400,0.065364069,0.1484063016666666,559.6666666666666,0.9191924866666668,0.0075,Paragraph 3
Ben Shneiderman,curie,400,0.1740581676666666,0.2793209136666666,745.3333333333334,0.9501951333333332,0.0747,Paragraph 3
Ben Shneiderman,turbo,400,0.23869147,0.3488938053333333,823.6666666666666,0.9738387333333334,0.1321666666666666,Paragraph 3
Ben Shneiderman,davinci,400,0.1602629203333333,0.2528919456666667,537.3333333333334,0.0,0.08,Paragraph 3
Anna Celler,turbo,14,0.1999270073333333,0.2925713213333333,592.6666666666666,0.9533539833333332,0.0740333333333333,Paragraph 3
Anna Celler,davinci,14,0.1555602866666666,0.265686888,357.0,0.0,0.0853999999999999,Paragraph 3
